Date,Store,CHK,CHK Total,ITM,ITM $,DSCL,DSCL ID,Discount Name,Cashier Qu Backend ID,Loyalty ID
05/07,4258,250507150424000,25.06,,0,1.79,135733,250 Points Free Cookie,,
05/07,4258,250507150913462,13.15,,0,2.29,135736,500 Points Free Reg Drink,,
05/07,4258,4000,0,87258,3.49,3.49,135910,Magoos Rewards,75225,a88b8922-6b8f-435a-b4f0-bdd115d7d490
05/07,4258,2019,22.07,135862,2.29,2.29,135910,Magoos Rewards,182216,fbc32140-2def-4f4d-af32-2240886e715d
05/07,4258,250507164511951,0,,0,10.99,135739,2000 Points Free Meal,,
05/07,4258,250507171159461,10.49,,0,10.49,147060,147060,,
05/07,4258,250507200417044,20.48,,0,10.49,147060,147060,,
05/07,4258,250507223607731,39.99,,0,2.29,135910,Magoos Rewards,,
05/07,4259,250507190019837,10.49,,0,10.49,147060,147060,,
05/07,4259,250507194538165,10.49,,0,10.49,147060,147060,,
05/07,4259,250507214444189,10.49,,0,10.49,147060,147060,,
05/07,4259,250507223000923,10.99,,0,3.49,135910,Magoos Rewards,,
05/07,4259,3071,10.49,38280,7.99,7.99,135910,Magoos Rewards,338510,ce87e971-af92-4a19-8b41-d81d75286fe2
05/07,4259,250507232601916,11.49,,0,11.49,135910,Magoos Rewards,,
05/07,4261,250507154934935,14.07,,0,8.29,135738,1000 Points Free 3 Pc,,
05/07,4261,250507192204775,14.96,,0,2.29,135736,500 Points Free Reg Drink,,
05/07,4261,250507193353420,2.88,,0,8.29,135910,Magoos Rewards,,
05/07,4261,250507220128609,0,,0,8.29,135910,Magoos Rewards,,
05/07,4261,3096,13.96,80538,10.49,10.49,135910,Magoos Rewards,97899,34bf12b0-eb73-4585-af72-912f1bd59ae9
05/07,4261,250507230129604,8.33,,0,9.19,135910,Magoos Rewards,,
05/07,4261,5002,1.18,41953,9.19,14.3,135910,Magoos Rewards,143285,65fad6a4-b3c1-48e3-843f-efff5d6e5182
05/07,4261,250507233404475,52.25,,0,10.79,135910,Magoos Rewards,,
05/07,4261,250507234625518,13.67,,0,8.29,135910,Magoos Rewards,,
05/07,4261,250508000746352,28.96,,0,8.29,135910,Magoos Rewards,,
05/07,4261,250508002020768,2.29,,0,8.29,135910,Magoos Rewards,,
05/07,4799,250507190159318,2.49,,0,7.99,135910,Magoos Rewards,,
05/07,4799,250507194421785,25.23,,0,11.49,147060,147060,,
05/07,4814,250507152641342,20.48,,0,10.99,147060,147060,,
05/07,4849,3030,13.38,80538,10.99,10.99,147060,147060,340087,6406eb3a-517d-43a5-86c2-7991ff7a1050
05/07,4849,3039,13.38,80538,10.99,10.99,147060,147060,340087,bf4fc523-0607-49f1-82ea-3df1aa3bc2b7
05/07,4867,250507153953464,10.49,,0,10.49,147060,147060,,
05/07,4867,250507222209875,2.69,,0,8.59,135910,Magoos Rewards,,
05/07,4867,250507222507371,0,,0,2.99,135910,Magoos Rewards,,
05/07,4872,250507192821376,2.59,,0,9.49,135910,Magoos Rewards,,
05/07,4872,3034,23.98,,0,1.99,135910,Magoos Rewards,291667,1fba5971-6b5a-4ed1-9519-e1960b6ddd01
05/07,4878,250507153358123,33.97,,0,2.99,147061,147061,,
05/07,4884,250507200511959,11.67,,0,2.99,147061,147061,,
05/07,4884,12187,8.79,,0,1.69,135910,Magoos Rewards,140013,5eae5d6a-a6ce-4f25-b00d-5772eb2598f1
05/07,4885,4024,11.99,135862,2.59,2.59,135910,Magoos Rewards,90204,33a1de90-3d7c-480a-9408-56db4426b444
05/07,4885,250507220801889,10.99,,0,10.99,135910,Magoos Rewards,,
05/07,4885,3041,24.98,87258,3.99,3.99,135910,Magoos Rewards,217083,e65b5b3f-fb54-4f6b-8354-30bdadadab74
05/07,4885,250507222901684,9.49,,0,1.99,135910,Magoos Rewards,,
05/07,4885,250507232052913,13.48,,0,2.59,135910,Magoos Rewards,,
05/07,4885,250508003111823,2.59,,0,9.49,135910,Magoos Rewards,,
05/07,4886,4002,10.49,80538,10.49,10.49,147060,147060,327372,04af0960-1088-4251-aebe-f56391a40328
05/07,4886,250507170300528,10.49,,0,10.49,147060,147060,,
05/07,4886,250507211050117,10.49,,0,10.49,147060,147060,,
05/07,4886,250507215548072,15.97,,0,10.49,147060,147060,,
05/07,4887,250507165323159,2.99,,0,8.29,135738,1000 Points Free 3 Pc,,
05/07,4887,250507172911632,8.29,,0,1.79,135733,250 Points Free Cookie,,
05/07,4887,250507212020104,0,,0,9.19,135738,1000 Points Free 3 Pc,,
05/07,4887,250507214548173,12.19,,0,10.49,147060,147060,,
05/07,4887,250507221016238,2.29,,0,8.29,135910,Magoos Rewards,,
05/07,5346,2006,13.48,135862,2.79,2.79,135910,Magoos Rewards,101717,05da71cb-0420-4479-a21a-b12a25c2e4b1
05/07,5346,250507163849303,15.28,,0,10.49,147060,147060,,
05/07,5346,3038,15.48,135862,2.79,2.79,135910,Magoos Rewards,321639,42b87f2e-1c7c-466b-ba4e-339f6b0ec5ee
05/07,5346,3041,20.46,135862,2.79,2.79,135910,Magoos Rewards,321639,dba07fc4-f77b-43ce-8f99-1176544a1ee3
05/07,5346,250507220137329,21.48,,0,2.79,135910,Magoos Rewards,,
05/07,5346,250507223705752,20.58,,0,8.49,135910,Magoos Rewards,,
05/07,5346,250507232601097,27.97,,0,3.99,135910,Magoos Rewards,,
05/07,5346,250508000033056,0,,0,8.49,135910,Magoos Rewards,,
05/07,5359,8033,37.49,38280,7.99,7.99,135910,Magoos Rewards,117413,265613a5-6002-421d-a757-c63b877a4b20
05/07,5359,250507175321141,9.99,,0,9.99,147060,147060,,
05/07,5359,2096,8.99,80538,8.99,8.99,135910,Magoos Rewards,151563,c029d27b-5949-4f16-bd5d-4f20eed8eac6
05/07,5359,5042,8.99,80538,8.99,8.99,135910,Magoos Rewards,117413,517c9f38-5a41-4c48-b090-490284778960
05/07,5559,3031,3.09,38280,8.49,8.49,135910,Magoos Rewards,314559,ce9f11fe-f96f-47da-872c-c41ab7cb705e
05/07,5559,2014,8.99,,0,1.99,135910,Magoos Rewards,114764,6dc75828-53d0-439f-940e-e0844ed5100d
05/07,5559,3048,11.75,135862,2.79,2.79,135910,Magoos Rewards,314559,a5eef931-bb0c-47ed-b498-cccb80ef6acd
05/07,5559,250507203441656,23.48,,0,10.49,147060,147060,,
05/07,5559,250507205713476,14.66,,0,10.49,147060,147060,,
05/07,5559,250507234413590,25.97,,0,8.49,135910,Magoos Rewards,,
05/07,5561,250507161014474,1.99,,0,7.99,135738,1000 Points Free 3 Pc,,
05/07,5561,8031,0,38280,7.99,7.99,135910,Magoos Rewards,134849,95ca5445-3eef-4db4-9dbe-da10486e241e
05/07,5561,250507232216507,39.87,,0,10.49,135910,Magoos Rewards,,
05/07,5561,250507233753111,28.47,,0,10.49,135910,Magoos Rewards,,
05/07,5563,2018,27.96,135862,1.99,1.99,135910,Magoos Rewards,147515,5f3c9057-7adf-45b2-aa32-c612f19e3db1
05/07,5563,250507191535351,15.98,,0,10.99,147060,147060,,
05/07,5563,250507193827000,46.4,,0,1.99,135736,500 Points Free Reg Drink,,
05/07,5563,2037,55.82,135862,1.99,1.99,135910,Magoos Rewards,144738,46b76299-fccb-4cf4-b43c-20b5ffe0a1d5
05/07,5563,250507222946814,20.64,,0,10.99,135910,Magoos Rewards,,
05/07,5691,9013,2.49,38280,7.99,7.99,135910,Magoos Rewards,339561,bd3d8e47-cc5c-422f-9c8f-9291ce812668
05/07,5691,250508000708663,33.14,,0,2.49,135910,Magoos Rewards,,
05/07,5765,250507154535911,9.78,,0,2.99,147061,147061,,
05/07,5765,250507191802804,10.49,,0,10.49,147060,147060,,
05/07,5765,250507231303852,22.08,,0,8.29,135910,Magoos Rewards,,
05/07,5805,250507221548378,0,,0,7.99,135910,Magoos Rewards,,
05/07,5865,250507153218981,0,,0,8.74,135738,1000 Points Free 3 Pc,,
05/07,5865,250507213422096,25.07,,0,10.49,147060,147060,,
05/07,5865,250507213253039,11.49,,0,11.49,147060,147060,,
05/07,5865,250507223125186,46.36,,0,10.49,135910,Magoos Rewards,,
05/07,5865,250508003227217,14.58,,0,1.89,135910,Magoos Rewards,,
05/07,6705,250507202410343,9.99,,0,9.99,147060,147060,,
05/07,6705,3062,10.28,38280,7.99,7.99,135910,Magoos Rewards,188791,fc4b50a2-9108-4cef-b718-ff49e6d94b6f
05/07,6778,3005,16.17,139412,10.99,10.99,147060,147060,354874,beee6630-071e-4c70-938f-6dd4c99f0589
05/07,6778,3013,10.99,139412,10.99,10.99,147060,147060,354874,345b28d1-29e2-46bf-8a94-2c9ee9165c70
05/07,6778,1008,2.59,38331,11.99,11.99,135910,Magoos Rewards,165571,41ab2975-fa3c-424a-b8f6-6df2851faf7e
